"","Master","lowtag","utme","utmn","eartag1","eartag2","area","county","captyr","captmo","captday","traptype","landtype","locname","UTM.Zone","age","sex","freq","typeofmark","RwdExp","VIT","X2freq","CollarID","NeckCirc","captcomments","mtherlt","fwn1lt","fwn1frq","fwn2lt","fwn2frq","fwn3lt","fwn3frq","fwn4lt","fwn4frq","lowhigh","individual.local.identifier","event.id","visible","timestamp","location.long","location.lat","comments","gps.dop","gps.fix.type.raw","height.raw","sensor.type","individual.taxon.canonical.name","tag.local.identifier","study.name","NewDate","Year","WTYear","timelag","x","y","SeasonYear","SeasonYearBurst"
"176428","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158433,"true","2019-04-11 10:00:20.000",-78.4083579,40.1177517,"DMAP South:166.28",1.2,"val. GPS-3D",523.49,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-11 10:00:20,"2019","20155_20401M_2019",12584,1478030.94793788,2037335.40001958,"Spring19","20155_20401M_Spring19"
"176429","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158434,"true","2019-04-11 13:30:15.000",-78.4098232,40.1155524,"DMAP South:166.28",1.2,"val. GPS-3D",580.55,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-11 13:30:15,"2019","20155_20401M_2019",12595,1477954.36975501,2037070.51224903,"Spring19","20155_20401M_Spring19"
"176430","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158435,"true","2019-04-11 17:00:12.000",-78.4096324,40.1154925,"DMAP South:166.28",1.4,"val. GPS-3D",523.25,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-11 17:00:12,"2019","20155_20401M_2019",12597,1477971.44864149,2037066.86943939,"Spring19","20155_20401M_Spring19"
"176431","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158436,"true","2019-04-11 20:30:12.000",-78.4085399,40.1113393,"DMAP South:166.28",1.2,"val. GPS-3D",608.17,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-11 20:30:12,"2019","20155_20401M_2019",12600,1478147.44747506,2036626.40281423,"Spring19","20155_20401M_Spring19"
"176432","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158437,"true","2019-04-12 00:00:14.000",-78.4070638,40.1196334,"DMAP South:166.28",1.2,"val. GPS-3D",464.84,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 00:00:14,"2019","20155_20401M_2019",12602,1478099.81740819,2037562.66114265,"Spring19","20155_20401M_Spring19"
"176433","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158438,"true","2019-04-12 03:30:20.000",-78.4077291,40.1280885,"DMAP South:166.28",1.2,"val. GPS-3D",381.17,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 03:30:20,"2019","20155_20401M_2019",12606,1477871.00340445,2038483.49042283,"Spring19","20155_20401M_Spring19"
"176434","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158439,"true","2019-04-12 07:00:16.000",-78.4053369,40.1291053,"DMAP South:166.28",1.2,"val. GPS-3D",386.86,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 07:00:16,"2019","20155_20401M_2019",12596,1478048.81037198,2038632.50050582,"Spring19","20155_20401M_Spring19"
"176435","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158440,"true","2019-04-12 10:30:29.000",-78.4095263,40.1156964,"DMAP South:166.28",1.4,"val. GPS-3D",536.74,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 10:30:29,"2019","20155_20401M_2019",12613,1477976.07731504,2037090.96697353,"Spring19","20155_20401M_Spring19"
"176436","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158441,"true","2019-04-12 14:00:30.000",-78.4099251,40.1133713,"DMAP South:166.28",1.2,"val. GPS-3D",601.08,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 14:00:30,"2019","20155_20401M_2019",12601,1477990.66968198,2036828.73567912,"Spring19","20155_20401M_Spring19"
"176437","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158442,"true","2019-04-12 17:30:37.000",-78.4131359,40.1101952,"DMAP South:166.28",1.2,"val. GPS-3D",721.74,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 17:30:37,"2019","20155_20401M_2019",12607,1477789.11824583,2036429.25345027,"Spring19","20155_20401M_Spring19"
